date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2023-01-01,LKA,LKR,Sri Lanka,1820,364.655,4.99101890828317,-0.06884,-0.0459,0.06938,0.58374,0.41081,3115.04217059341,3.83442775940948,0.18787,0.09827,0.2653,0.91181,0.49666
2023-01-01,MDA,MDL,Moldova,60,18.8411,3.18452744266524,-0.40587,-0.39123,-0.31768,0.0105,-0.09983,9594.98540133333,3.9279632734899,-0.26013,-0.31593,-0.2119,0.19079,-0.0678
2023-01-01,MEX,MXN,Mexico,79,18.838,4.19365113069328,-0.2176,-0.19832,-0.10146,0.33072,0.18541,14841.1046622785,4.00368900819572,-0.0441,-0.1162,0.01821,0.53847,0.20438
2023-01-01,MYS,MYR,Malaysia,12.9,4.2855,3.01015050752538,-0.4384,-0.42457,-0.35504,-0.04483,-0.14912,22520.1110511628,4.11453254256557,-0.33235,-0.38271,-0.28883,0.07454,-0.1588
2023-01-01,NIC,NIO,Nicaragua,154,36.45,4.22496570644719,-0.21176,-0.19234,-0.09475,0.34065,0.19427,2982.74414649351,3.83251808778808,0.00605,-0.06984,0.07162,0.61918,0.26757
2023-01-01,NOR,NOK,Norway,65,9.86415,6.58951861032121,0.22939,0.25968,0.41188,1.09097,0.86265,84297.0504233846,5.0062591482995,0.20121,0.11061,0.27951,0.93329,0.51347
2023-01-01,NZL,NZD,New Zealand,7.5,1.53787004998078,4.87687499999999,-0.09014,-0.06772,0.04493,0.54752,0.37854,53052.557472,4.55525678511114,-0.02297,-0.09666,0.04072,0.57248,0.23101
2023-01-01,OMN,OMR,Oman,1.42,0.385,3.68831168831169,-0.31188,-0.29493,-0.20974,0.17036,0.04257,35953.5664225352,4.30843935768659,-0.21876,-0.27768,-0.16783,0.25737,-0.01567
2023-01-01,PAK,PKR,Pakistan,780,230.2,3.38835794960904,-0.36784,-0.35227,-0.27401,0.07518,-0.04222,2026.48418523077,3.81871483922767,-0.19025,-0.25133,-0.13747,0.30325,0.02025
2023-01-01,PER,PEN,Peru,13.9,3.8847,3.57813988210158,-0.33244,-0.31599,-0.23334,0.1354,0.01143,10726.271971223,3.94429296452561,-0.17212,-0.23456,-0.11816,0.33243,0.04309
2023-01-01,PHL,PHP,Philippines,155,54.435,2.84743271792046,-0.46876,-0.45567,-0.38991,-0.09646,-0.19512,6826.02068903226,3.88799432181653,-0.33164,-0.38206,-0.28808,0.07568,-0.15791
2023-01-01,POL,PLN,Poland,17.75,4.3373,4.09240771908791,-0.23649,-0.21768,-0.12316,0.29859,0.1568,24601.9114095775,4.14458253834538,-0.09889,-0.16686,-0.04015,0.45029,0.13535
2023-01-01,QAT,QAR,Qatar,14,3.64175,3.84430562229697,-0.28278,-0.26511,-0.17631,0.21986,0.08667,117654.445691429,5.48776045219661,-0.3607,-0.40892,-0.31903,0.02891,-0.19452
2023-01-01,ROU,RON,Romania,12.3,4.51885,2.72193146486385,-0.49218,-0.47966,-0.4168,-0.13628,-0.2306,32323.0324617886,4.25603398185028,-0.41635,-0.46037,-0.37831,-0.06065,-0.26463
2023-01-01,SAU,SAR,Saudi Arabia,19,3.7545,5.06059395392196,-0.05586,-0.0326,0.08429,0.60581,0.43047,33693.6601852632,4.27581847133777,0.08009,-0.00137,0.1505,0.73835,0.36087
2023-01-01,SGP,SGD,Singapore,5.9,1.32015,4.46918910729841,-0.1662,-0.14565,-0.04243,0.41815,0.2633,103715.224162712,5.28655309510367,-0.2285,-0.28669,-0.17821,0.24169,-0.02795
2023-01-01,SWE,SEK,Sweden,57.4,10.2154,5.61896744131409,0.04831,0.07415,0.20393,0.78299,0.58831,52596.7847679443,4.54867787960847,0.12733,0.0423,0.20081,0.81438,0.42038
2023-01-01,THA,THB,Thailand,128,32.8225,3.89976388148374,-0.27243,-0.2545,-0.16443,0.23746,0.10234,10377.779786875,3.93926261249083,-0.09655,-0.1647,-0.03766,0.45405,0.1383
2023-01-01,TUR,TRY,Turkey,75,18.8055,3.98819494296881,-0.25593,-0.2376,-0.14548,0.26552,0.12734,12575.8657674667,3.97099114696507,-0.08345,-0.15258,-0.0237,0.47514,0.15481
2023-01-01,TWN,TWD,Taiwan,75,30.369,2.46962362935889,-0.53925,-0.5279,-0.47086,-0.21635,-0.30191,69545.2420245333,4.79332240903041,-0.52981,-0.56527,-0.49916,-0.24325,-0.40758
2023-01-01,UKR,UAH,Ukraine,92,36.917,2.49207682097679,-0.53506,-0.5236,-0.46604,-0.20922,-0.29557,8194.07325826087,3.90774163993266,-0.41801,-0.46191,-0.38007,-0.06332,-0.26672
2023-01-01,URY,UYU,Uruguay,268,39.125,6.84984025559105,0.27796,0.30944,0.46766,1.17357,0.93624,16649.80204,4.02979686640018,0.55123,0.43423,0.65235,1.49663,0.95448
2023-01-01,USA,USD,United States,5.36,1,5.36,0,0.02464,0.14844,0.70082,0.5151,76348.494,4.89152476178024,0,-0.07543,0.06518,0.60945,0.25995
2023-01-01,VEN,VES,Venezuela,56.3,20.7081,2.71874290736475,-0.49277,-0.48027,-0.41748,-0.1373,-0.2315,,,,,,,
2023-01-01,VNM,VND,Vietnam,72000,23450,3.07036247334755,-0.42717,-0.41306,-0.34214,-0.02572,-0.1321,7120.47296448111,3.89224462833551,-0.28011,-0.3344,-0.23318,0.15863,-0.09297
2023-01-01,ZAF,ZAR,South Africa,49.9,17.21,2.89947704822777,-0.45905,-0.44572,-0.37875,-0.07995,-0.18041,11765.8372921844,3.95929869424482,-0.33169,-0.38209,-0.28812,0.07562,-0.15796
2023-07-01,ARE,AED,United Arab Emirates,18,3.67305,4.9005594805407,-0.12176,-0.15819,-0.09099,0.54727,0.4003,58410.2403,4.90169618472372,-0.07647,-0.20028,-0.11621,0.53276,0.24271
